City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Viedma,AR,-40.8135,-62.9967,45.48,69,98,20.74,overcast clouds
288,Sitka,US,57.0531,-135.33,66.09,63,20,10.36,few clouds
289,Neiafu,TO,-18.65,-173.9833,83.08,74,40,8.05,scattered clouds
290,Mount Isa,AU,-20.7333,139.5,74.97,31,100,16.11,overcast clouds
291,Dossor,KZ,47.5272,52.9811,75.69,35,0,11.01,clear sky
292,Te Anau,NZ,-45.4167,167.7167,45.73,91,100,2.55,light rain
293,Xichang,CN,27.8964,102.2634,69.55,94,100,0.83,overcast clouds
294,Algiers,DZ,36.7525,3.042,66.02,77,20,4.61,few clouds
295,Broome,US,42.2506,-75.833,73.85,87,100,9.22,overcast clouds
296,Cockburn Town,TC,21.4612,-71.1419,82.54,80,100,18.54,overcast clouds
297,Sola,VU,-13.8833,167.55,81.03,74,12,21.54,few clouds
298,Phek,IN,25.6667,94.5,61.47,99,100,1.12,overcast clouds
299,Port-Gentil,GA,-0.7193,8.7815,72.57,87,75,6.38,broken clouds
300,Atar,MR,20.5169,-13.0499,87.33,18,0,9.19,clear sky
301,Muborak,UZ,39.2553,65.1528,92.53,17,0,5.35,clear sky
302,Hovd,MN,48.0056,91.6419,78.3,26,0,2.71,clear sky
303,Catamarca,AR,-28.4696,-65.7852,47.77,77,87,1.01,overcast clouds
304,Grand Gaube,MU,-20.0064,57.6608,66.38,67,2,3.0,clear sky
305,Andra,RU,62.5147,65.8878,45.05,93,100,11.63,light rain
306,Yulara,AU,-25.2406,130.9889,59.32,45,0,17.47,clear sky
307,Rawson,AR,-43.3002,-65.1023,42.91,55,0,9.6,clear sky
308,Mount Gambier,AU,-37.8333,140.7667,54.73,57,15,4.99,few clouds
309,Tiarei,PF,-17.5333,-149.3333,84.22,72,3,18.23,clear sky
310,Kaka,TM,37.3482,59.6143,93.52,15,0,5.91,clear sky
311,Saint-Augustin,CA,51.226,-58.6502,49.89,90,100,6.62,overcast clouds
312,Alta Floresta,BR,-9.8756,-56.0861,70.34,48,15,4.45,few clouds
313,Mtambile,TZ,-5.3833,39.7,77.02,72,22,17.98,few clouds
314,Clyde River,CA,70.4692,-68.5914,34.03,93,100,5.75,overcast clouds
315,Port Lincoln,AU,-34.7333,135.8667,56.12,60,1,6.35,clear sky
316,Meulaboh,ID,4.1363,96.1285,80.62,73,96,2.82,overcast clouds
317,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,82,75,9.22,broken clouds
318,Manzil Salim,TN,35.8567,8.4765,80.85,22,1,6.96,clear sky
319,Batagay,RU,67.6333,134.6333,40.91,79,100,4.59,overcast clouds
320,Burgkirchen,AT,48.2044,13.0999,67.96,95,1,4.5,clear sky
321,Ahuimanu,US,21.4447,-157.8378,83.91,58,0,14.97,clear sky
322,Narrabri,AU,-30.3167,149.7833,61.52,46,1,5.99,clear sky
323,Vao,NC,-22.6667,167.4833,72.37,75,1,15.73,clear sky
324,Yerofey Pavlovich,RU,53.9667,121.9667,64.17,86,100,4.5,light rain
325,Stokmarknes,NO,68.5646,14.9108,57.18,82,14,9.22,few clouds
326,Diapaga,BF,12.0708,1.7889,81.39,61,100,3.78,overcast clouds
327,Karratha,AU,-20.7377,116.8463,72.88,31,0,24.81,clear sky
328,Bolobo,CD,-2.1667,16.2333,74.52,73,74,2.3,broken clouds
329,Poum,NC,-20.2333,164.0167,76.46,68,12,12.64,few clouds
330,Lagoa,PT,39.05,-27.9833,63.95,81,85,10.27,overcast clouds
331,Plouzane,FR,48.3833,-4.6167,53.78,87,40,8.05,scattered clouds
332,Esperance,AU,-33.8667,121.9,61.72,50,53,21.09,broken clouds
333,Chapais,CA,49.7834,-74.8492,65.98,86,46,9.15,scattered clouds
334,Ulaangom,MN,49.9811,92.0667,79.59,33,34,3.47,scattered clouds
335,Hatton,LK,6.8916,80.5955,64.94,83,57,3.78,broken clouds
336,Sampit,ID,-2.5333,112.95,84.38,73,86,1.21,overcast clouds
337,Gamba,GA,-2.65,10.0,68.83,96,68,2.71,broken clouds
